family	species	accession	assembly
Asilidae	Leptogaster_cylindrica	GCA_963082835.1	idLepCyli1.1
Chironomidae	Polypedilum_vanderplanki	GCA_018290095.1	Pv_5.2
Chironomidae	Chironomus_riparius	GCA_917627325.4	PGI_CHIRRI_v4
Chironomidae	Chironomus_striatipennis	GCA_026123125.1	ASM2612312v1
Chironomidae	Chironomus_tentans	GCA_963573255.1	idChiTent1.1
Chironomidae	Smittia_aterrima	GCA_033063855.1	ASM3306385v1
Chironomidae	Smittia_sp	GCA_033064975.1	ASM3306497v1
Chironomidae	Propsilocerus_akamusi	GCA_018397935.1	ASM1839793v1
Tephritidae	Bactrocera_correcta	GCA_027475135.1	ASM2747513v1
Chloropidae	Chlorops_oryzae	GCA_020466095.1	Cory_1.0
Cecidomyiidae	Obolodiplosis_robiniae	GCA_028476595.1	CAF_Oro_1.0
Drosophilidae	Drosophila_ananassae	GCF_017639315.1	ASM1763931v2
Ceratopogonidae	Culicoides_brevitarsis	GCF_036172545.1	AGI_CSIRO_Cbre_v1
Drosophilidae	Drosophila_teissieri	GCF_016746235.2	Prin_Dtei_1.1
Cecidomyiidae	Aphidoletes_aphidimyza	GCA_030463065.1	ASM3046306v1
Drosophilidae	Hirtodrosophila_cameraria	GCA_949708635.1	idHirCame2.1
Drosophilidae	Drosophila_mauritiana	GCF_004382145.1	ASM438214v1
Drosophilidae	Drosophila_simulans	GCF_016746395.2	Prin_Dsim_3.1
Drosophilidae	Drosophila_sechellia	GCF_004382195.2	ASM438219v2
Drosophilidae	Drosophila_subobscura	GCF_008121235.1	UCBerk_Dsub_1.0
Drosophilidae	Drosophila_melanogaster	GCF_000001215.4	Release 6 plus ISO1 MT
Drosophilidae	Drosophila_madeirensis	GCA_040893045.1	Dmadeirensis_assembly01
Drosophilidae	Drosophila_yakuba	GCF_016746365.2	Prin_Dyak_Tai18E2_2.1
Drosophilidae	Drosophila_santomea	GCF_016746245.2	Prin_Dsan_1.1
Drosophilidae	Drosophila_busckii	GCF_011750605.1	ASM1175060v1
Calliphoridae	Bellardia_pandia	GCA_916048285.2	idBelPand1.2
Hippoboscidae	Ornithomya_fringillina	GCA_963978525.1	idOrnFrin1.1
Drosophilidae	Drosophila_histrio	GCA_958299025.2	idDroHist2.2
Drosophilidae	Drosophila_bifasciata	GCA_009664405.1	UCBerk_Dbif_1.0
Hippoboscidae	Crataerina_pallida	GCA_949710015.1	idCraPall2.1
Anthomyiidae	Pegoplata_infirma	GCA_963921195.1	idPegInfi2.1
Drosophilidae	Drosophila_albomicans	GCF_009650485.2	ASM965048v2
Drosophilidae	Drosophila_nasuta	GCF_023558535.2	ASM2355853v2
Muscidae	Polietes_domitor	GCA_947397865.1	idPolDomi1.1
Drosophilidae	Drosophila_kepulauana	GCA_023558455.1	ASM2355845v1
Anthomyiidae	Leucophora_obtusa	GCA_949987735.1	idLeuObtu2.1
Asilidae	Neoitamus_cyanurus	GCA_947538895.1	idNeoCyan1.1
Drosophilidae	Drosophila_sulfurigaster	GCF_023558435.1	ASM2355843v2
Drosophilidae	Drosophila_immigrans	GCA_963583835.1	idDroImmi1.1
Drosophilidae	Drosophila_phalerata	GCA_951394115.2	idDroPhal2.2
Anthomyiidae	Delia_radicum	GCA_021234595.1	iDiv_DRa_1.0
Muscidae	Phaonia_tiefii	GCA_963931995.1	idPhaTief1.1
Anisopodidae	Sylvicola_cinctus	GCA_963854165.1	idSylCinc2.1
Hippoboscidae	Ornithomya_chloropus	GCA_963971445.1	idOrnChlo1.1
Asilidae	Machimus_rusticus	GCA_951509405.1	idMacRust1.1
Sarcophagidae	Sarcophaga_caerulescens	GCA_927399465.1	idSarCaer1.1
Anthomyiidae	Eustalomyia_histrio	GCA_949748255.1	idEusHist1.1
Muscidae	Hydrotaea_cyrtoneurina	GCA_958296145.1	idHydCyrt1.1
Asilidae	Dysmachus_trigonus	GCA_949715965.1	idDysTrig1.1
Asilidae	Eutolmus_rufibarbis	GCA_963920795.1	idEutRufi1.1
Drosophilidae	Drosophila_pallidifrons	GCA_023558445.1	ASM2355844v1
Bibionidae	Bibio_marci	GCA_910594885.2	idBibMarc1.1
Muscidae	Hydrotaea_diabolus	GCA_963513945.1	idHydDiab1.1
Sciomyzidae	Dichetophora_obliterata	GCA_963920525.1	idDicObli2.1
Drosophilidae	Drosophila_triauraria	GCA_014170255.2	RU_Dtri_1.1
Asilidae	Philonicus_albiceps	GCA_963969385.1	idPhiAlbi1.1
Bombyliidae	Bombylius_discolor	GCA_939192795.1	idBomDisc1.1
Asilidae	Tolmerus_cingulatus	GCA_959613345.1	idTolCing1.1
Muscidae	Muscina_levida	GCA_964034835.1	idMusLevi1.1
Rhinophoridae	Melanophora_roralis	GCA_963583895.1	idMelRora1.1
Asilidae	Leptarthrus_brevirostris	GCA_964036015.1	idLepBrev1.hap1.1
Scathophagidae	Cordilura_impudica	GCA_963682025.1	idCorImpu1.1
Asilidae	Dioctria_rufipes	GCA_963924295.1	idDioRufi1.1
Asilidae	Dioctria_linearis	GCA_963930735.1	idDioLine1.1
Muscidae	Stomoxys_calcitrans	GCF_963082655.1	idStoCalc2.1
Sepsidae	Nemopoda_nitidula	GCA_964194425.1	idNemNiti2.1
Bibionidae	Dilophus_febrilis	GCA_958336335.1	idDilFebr1.1
Sarcophagidae	Sarcophaga_variegata	GCA_932273835.1	idSarVari1.1
Calliphoridae	Calliphora_vomitoria	GCA_942486065.2	idCalVomi1.2
Sarcophagidae	Sarcophaga_subvicina	GCA_936449025.2	idSarSubv1.2
Clusiidae	Clusia_tigrina	GCA_920105625.2	idCluTigr1.2
Bibionidae	Plecia_longiforceps	GCA_041753815.1	
Bombyliidae	Bombylius_major	GCA_932526495.1	idBomMajo1.1
Tachinidae	Epicampocera_succincta	GCA_932526305.1	idEpiSucc1.1
Tachinidae	Gymnosoma_rotundatum	GCA_916610165.2	idGymRotn1.2
Bombyliidae	Villa_cingulata	GCA_951394055.1	idVilCing2.1
Bombyliidae	Anthrax_anthrax	GCA_963971155.1	idAntAnth1.1
Asilidae	Machimus_atricapillus	GCA_933228815.1	idMacAtri3.1
Dolichopodidae	Sciapus_platypterus	GCA_964204755.1	idSciPlat2.1
Muscidae	Eudasyphora_cyanicolor	GCA_963930755.1	idEudCyai1.1
Sarcophagidae	Sarcophaga_carnaria	GCA_958299815.1	idSarCarn1.1
Sarcophagidae	Metopia_argyrocephala	GCA_963576795.1	idMetArgy1.1
Dolichopodidae	Poecilobothrus_nobilitatus	GCA_947095535.1	idPoeNobi2.1
Dolichopodidae	Argyra_leucocephala	GCA_963942445.1	idArgLeuc1.1
Polleniidae	Pollenia_labialis	GCA_949318255.1	idPolLabi1.1
Polleniidae	Pollenia_angustigena	GCA_930367215.1	idPolAngu1.1
Dolichopodidae	Dolichopus_griseipennis	GCA_963082915.1	idDolGris1.1
Drosophilidae	Drosophila_limbata	GCA_963924055.1	idDroLimb2.1
Dolichopodidae	Scellus_notatus	GCA_964204855.1	idSceNota2.1
Dolichopodidae	Dolichopus_virgultorum	GCA_965140195.1	idDolVirg1.hap1.1
Tipulidae	Nephrotoma_flavescens	GCA_932526605.1	idNepFlae1.1
Calliphoridae	Bellardia_bayeri	GCA_950370525.1	idBelBaye1.1
Calliphoridae	Lucilia_cuprina	GCF_022045245.1	ASM2204524v1
Sciomyzidae	Pherbina_coryleti	GCA_943735915.1	idPheCory1.1
Dolichopodidae	Neurigona_quadrifasciata	GCA_964251855.1	idNeuQuad1.1
Drosophilidae	Chymomyza_fuscimana	GCA_949987675.1	idChyFusc2.1
Rhinophoridae	Phyto_melanocephala	GCA_941918925.1	idPhyMeln1.1
Sarcophagidae	Sarcophaga_peregrina	GCA_014635995.1	ASM1463599v1
Heleomyzidae	Suillia_variegata	GCA_949127995.1	idSuiVari3.1
Calliphoridae	Calliphora_vicina	GCF_958450345.1	idCalVici1.1
