meta	busco_score	complete_single	complete_duplicated
Anopheles_longipalpis	C:91.8%[S:73.2%,D:18.5%],F:3.7%,M:4.5%,n:5067	73.20%	18.50%
Drosophila_miranda	C:98.3%[S:82.4%,D:16.0%],F:1.0%,M:0.7%,n:5067	82.40%	16.00%
Anopheles_vaneedeni	C:93.2%[S:83.0%,D:10.1%],F:2.7%,M:4.1%,n:5067	83.00%	10.10%
Uranotaenia_lowii	C:91.8%[S:83.0%,D:8.8%],F:3.1%,M:5.1%,n:5067	83.00%	8.80%
Armigeres_subalbatus	C:96.5%[S:90.2%,D:6.3%],F:1.3%,M:2.2%,n:5067	90.20%	6.30%
Aedes_albopictus	C:94.1%[S:88.2%,D:5.9%],F:2.5%,M:3.4%,n:5067	88.20%	5.90%
Anopheles_rivulorum	C:90.2%[S:84.4%,D:5.8%],F:2.8%,M:6.9%,n:5067	84.40%	5.80%
Anopheles_merus	C:94.3%[S:88.6%,D:5.7%],F:1.7%,M:4.0%,n:5067	88.60%	5.70%
Aedes_notoscriptus	C:94.4%[S:88.9%,D:5.5%],F:1.4%,M:4.2%,n:5067	88.90%	5.50%
Anopheles_parensis	C:92.2%[S:86.8%,D:5.4%],F:3.4%,M:4.4%,n:5067	86.80%	5.40%
Delia_radicum	C:95.1%[S:90.0%,D:5.2%],F:2.9%,M:2.0%,n:5067	90.00%	5.20%
Rhagio_lineola	C:94.1%[S:89.2%,D:4.9%],F:2.7%,M:3.1%,n:5067	89.20%	4.90%
Topomyia_yanbarensis	C:94.8%[S:90.2%,D:4.7%],F:2.0%,M:3.1%,n:5067	90.20%	4.70%
Diogma_glabrata	C:89.1%[S:84.5%,D:4.5%],F:5.1%,M:5.9%,n:5067	84.50%	4.50%
Coelopa_frigida	C:95.4%[S:91.1%,D:4.3%],F:1.6%,M:3.0%,n:5067	91.10%	4.30%
Anopheles_stephensi	C:94.0%[S:89.9%,D:4.1%],F:1.8%,M:4.2%,n:5067	89.90%	4.10%
Culex_pipiens	C:92.0%[S:88.1%,D:3.9%],F:1.6%,M:6.4%,n:5067	88.10%	3.90%
Aedes_aegypti	C:95.9%[S:92.3%,D:3.6%],F:1.6%,M:2.5%,n:5067	92.30%	3.60%
Teleopsis_dalmanni	C:96.8%[S:93.2%,D:3.6%],F:1.0%,M:2.2%,n:5067	93.20%	3.60%
Volucella_bombylans	C:97.9%[S:94.3%,D:3.6%],F:1.1%,M:1.0%,n:5067	94.30%	3.60%
Culex_modestus	C:93.5%[S:90.1%,D:3.5%],F:1.8%,M:4.7%,n:5067	90.10%	3.50%
Ilione_lineata	C:97.7%[S:94.8%,D:2.9%],F:1.2%,M:1.1%,n:5067	94.80%	2.90%
Volucella_pellucens	C:97.6%[S:94.8%,D:2.8%],F:1.0%,M:1.4%,n:5067	94.80%	2.80%
Chironomus_striatipennis	C:82.9%[S:80.3%,D:2.6%],F:5.9%,M:11.2%,n:5067	80.30%	2.60%
Drosophila_affinis	C:98.2%[S:95.5%,D:2.6%],F:1.1%,M:0.7%,n:5067	95.50%	2.60%
Ornithomya_chloropus	C:95.9%[S:93.3%,D:2.5%],F:1.1%,M:3.0%,n:5067	93.30%	2.50%
Pseudolycoriella_hygida	C:85.5%[S:82.9%,D:2.5%],F:5.9%,M:8.6%,n:5067	82.90%	2.50%
Culex_perexiguus	C:94.8%[S:92.4%,D:2.4%],F:1.4%,M:3.8%,n:5067	92.40%	2.40%
Campiglossa_producta	C:96.1%[S:93.8%,D:2.3%],F:1.3%,M:2.6%,n:5067	93.80%	2.30%
Anthomyza_gracilis	C:96.8%[S:94.6%,D:2.2%],F:1.3%,M:2.0%,n:5067	94.60%	2.20%
Bradysia_coprophila	C:94.9%[S:92.7%,D:2.2%],F:2.0%,M:3.1%,n:5067	92.70%	2.20%
Dichetophora_obliterata	C:97.9%[S:95.7%,D:2.2%],F:1.2%,M:0.9%,n:5067	95.70%	2.20%
Drosophila_helvetica	C:98.2%[S:96.1%,D:2.2%],F:1.0%,M:0.8%,n:5067	96.10%	2.20%
Obolodiplosis_robiniae	C:90.6%[S:88.4%,D:2.2%],F:1.8%,M:7.6%,n:5067	88.40%	2.20%
Drosophila_americana	C:90.2%[S:88.1%,D:2.1%],F:4.3%,M:5.5%,n:5067	88.10%	2.10%
Microdon_myrmicae	C:95.3%[S:93.2%,D:2.1%],F:1.8%,M:2.9%,n:5067	93.20%	2.10%
Xylophagus_ater	C:94.7%[S:92.6%,D:2.1%],F:2.6%,M:2.7%,n:5067	92.60%	2.10%
Anopheles_cruzii	C:93.1%[S:91.2%,D:2.0%],F:2.3%,M:4.5%,n:5067	91.20%	2.00%
Culex_theileri	C:95.4%[S:93.5%,D:2.0%],F:1.4%,M:3.1%,n:5067	93.50%	2.00%
Glossina_fuscipes_fuscipes	C:97.9%[S:95.9%,D:2.0%],F:0.8%,M:1.3%,n:5067	95.90%	2.00%
Panorpa_germanica	C:71.3%[S:69.4%,D:2.0%],F:9.6%,M:19.1%,n:5067	69.40%	2.00%
Drosophila_nebulosa	C:97.2%[S:95.3%,D:1.9%],F:1.7%,M:1.2%,n:5067	95.30%	1.90%
Hybos_culiciformis	C:91.7%[S:89.8%,D:1.9%],F:4.0%,M:4.3%,n:5067	89.80%	1.90%
Polietes_domitor	C:98.7%[S:96.7%,D:1.9%],F:0.5%,M:0.8%,n:5067	96.70%	1.90%
Sciapus_platypterus	C:93.8%[S:91.9%,D:1.9%],F:1.7%,M:4.6%,n:5067	91.90%	1.90%
Chironomus_riparius	C:82.8%[S:81.0%,D:1.8%],F:6.4%,M:10.8%,n:5067	81.00%	1.80%
Chlorops_oryzae	C:90.3%[S:88.5%,D:1.8%],F:3.4%,M:6.4%,n:5067	88.50%	1.80%
Dasysyrphus_tricinctus	C:97.7%[S:95.9%,D:1.8%],F:0.8%,M:1.5%,n:5067	95.90%	1.80%
Hirtodrosophila_cameraria	C:98.7%[S:96.9%,D:1.8%],F:0.6%,M:0.7%,n:5067	96.90%	1.80%
Plecia_longiforceps	C:83.7%[S:82.0%,D:1.8%],F:6.3%,M:9.9%,n:5067	82.00%	1.80%
Sphaerophoria_taeniata	C:97.5%[S:95.7%,D:1.8%],F:0.8%,M:1.7%,n:5067	95.70%	1.80%
Chironomus_tentans	C:82.9%[S:81.2%,D:1.7%],F:6.0%,M:11.1%,n:5067	81.20%	1.70%
Drosophila_athabasca	C:98.0%[S:96.3%,D:1.7%],F:0.8%,M:1.2%,n:5067	96.30%	1.70%
Drosophila_lowei	C:95.0%[S:93.3%,D:1.7%],F:1.9%,M:3.2%,n:5067	93.30%	1.70%
Liriomyza_trifolii	C:89.1%[S:87.4%,D:1.7%],F:2.8%,M:8.1%,n:5067	87.40%	1.70%
Propsilocerus_akamusi	C:84.0%[S:82.3%,D:1.7%],F:5.4%,M:10.6%,n:5067	82.30%	1.70%
Aphidoletes_aphidimyza	C:91.3%[S:89.7%,D:1.6%],F:1.7%,M:7.0%,n:5067	89.70%	1.60%
Drosophila_willistoni	C:98.3%[S:96.7%,D:1.6%],F:0.9%,M:0.8%,n:5067	96.70%	1.60%
Smittia_aterrima	C:83.5%[S:81.9%,D:1.6%],F:5.3%,M:11.2%,n:5067	81.90%	1.60%
