species	accession	chromosome	busco_odb12_complete_count	chromosome_size_b
Acrocera_orbiculus	GCA_947359355.1	OX375756.1	1615	70384342
Acrocera_orbiculus	GCA_947359355.1	OX375757.1	1328	63123693
Acrocera_orbiculus	GCA_947359355.1	OX375758.1	1000	47323531
Acrocera_orbiculus	GCA_947359355.1	OX375759.1	599	29288000
Acrocera_orbiculus	GCA_947359355.1	OX375760.1	0	4764755
Aedes_aegypti	GCF_002204515.2	NC_035107.1	1126	310827022
Aedes_aegypti	GCF_002204515.2	NC_035108.1	1896	474425716
Aedes_aegypti	GCF_002204515.2	NC_035109.1	1650	409777670
Aedes_notoscriptus	GCA_040801935.1	CM081508.1	1670	289764546
Aedes_notoscriptus	GCA_040801935.1	CM081509.1	1608	281986627
Aedes_notoscriptus	GCA_040801935.1	CM081510.1	1033	205415775
Anastrepha_ludens	GCF_028408465.1	NC_071498.1	1243	185090897
Anastrepha_ludens	GCF_028408465.1	NC_071499.1	933	133334115
Anastrepha_ludens	GCF_028408465.1	NC_071500.1	967	131385309
Anastrepha_ludens	GCF_028408465.1	NC_071501.1	837	128169930
Anastrepha_ludens	GCF_028408465.1	NC_071502.1	981	127816056
Anastrepha_ludens	GCF_028408465.1	NC_071503.1	22	99992179
Anastrepha_ludens	GCF_028408465.1	NC_071504.1	0	6146282
Anastrepha_obliqua	GCF_027943255.1	NC_072892.1	1248	184948302
Anastrepha_obliqua	GCF_027943255.1	NC_072893.1	930	134537425
Anastrepha_obliqua	GCF_027943255.1	NC_072894.1	930	145582729
Anastrepha_obliqua	GCF_027943255.1	NC_072895.1	980	127191864
Anastrepha_obliqua	GCF_027943255.1	NC_072896.1	834	129492886
Anastrepha_obliqua	GCF_027943255.1	NC_072897.1	21	80850008
Anomoia_purmunda	GCA_951828415.1	OX639993.1	1246	203619140
Anomoia_purmunda	GCA_951828415.1	OX639994.1	826	133272934
Anomoia_purmunda	GCA_951828415.1	OX639995.1	930	129230719
Anomoia_purmunda	GCA_951828415.1	OX639996.1	976	121851093
Anomoia_purmunda	GCA_951828415.1	OX639997.1	983	119901272
Anomoia_purmunda	GCA_951828415.1	OX639998.1	26	83209835
Anopheles_albimanus	GCF_013758885.1	NC_050155.1	381	13047563
Anopheles_albimanus	GCF_013758885.1	NC_050156.1	2469	89049450
Anopheles_albimanus	GCF_013758885.1	NC_050157.1	1832	68172582
Anopheles_arabiensis	GCF_016920715.1	NC_053517.1	2577	111988354
Anopheles_arabiensis	GCF_016920715.1	NC_053518.1	1756	95710210
Anopheles_arabiensis	GCF_016920715.1	NC_053519.1	411	26913133
Anopheles_bellator	GCF_943735745.2	NC_071285.1	1832	60404489
Anopheles_bellator	GCF_943735745.2	NC_071286.1	2476	85293694
Anopheles_bellator	GCF_943735745.2	NC_071287.1	348	12334942
Anopheles_coluzzii	GCF_943734685.1	NC_064669.1	416	28269272
Anopheles_coluzzii	GCF_943734685.1	NC_064670.1	2595	126027569
