V1	V2
1	100497at7147	db1a
2	102356at7147	db1a
3	107173at7147	db1a
4	10821at7147	db1a
5	1123at7147	db1a
6	11292at7147	db1a
7	113155at7147	db1a
8	113611at7147	db1a
9	1142at7147	db1a
10	12283at7147	db1a
11	125860at7147	db1a
12	126196at7147	db1a
13	13052at7147	db1a
14	133744at7147	db1a
15	135807at7147	db1a
16	143663at7147	db1a
17	143890at7147	db1a
18	145710at7147	db1a
19	14706at7147	db1a
20	151105at7147	db1a
21	152075at7147	db1a
22	152457at7147	db1a
23	15336at7147	db1a
24	154221at7147	db1a
25	154325at7147	db1a
26	154893at7147	db1a
27	157102at7147	db1a
28	157964at7147	db1a
29	161838at7147	db1a
30	163225at7147	db1a
31	163251at7147	db1a
32	163275at7147	db1a
33	163408at7147	db1a
34	163566at7147	db1a
35	163621at7147	db1a
36	164702at7147	db1a
37	164929at7147	db1a
38	165004at7147	db1a
39	165032at7147	db1a
40	165142at7147	db1a
41	165238at7147	db1a
42	165751at7147	db1a
43	165929at7147	db1a
44	165956at7147	db1a
45	166496at7147	db1a
46	166740at7147	db1a
47	167011at7147	db1a
48	167257at7147	db1a
49	167382at7147	db1a
50	167517at7147	db1a
51	167630at7147	db1a
52	167826at7147	db1a
53	167892at7147	db1a
54	167970at7147	db1a
55	168086at7147	db1a
56	168583at7147	db1a
57	168613at7147	db1a
58	168749at7147	db1a
59	169134at7147	db1a
60	169217at7147	db1a
61	171548at7147	db1a
62	172179at7147	db1a
63	172610at7147	db1a
64	172656at7147	db1a
65	172688at7147	db1a
66	173526at7147	db1a
67	173527at7147	db1a
68	17402at7147	db1a
69	174348at7147	db1a
70	174700at7147	db1a
71	175731at7147	db1a
72	175870at7147	db1a
73	176414at7147	db1a
74	176436at7147	db1a
75	176583at7147	db1a
76	176674at7147	db1a
77	177018at7147	db1a
78	177507at7147	db1a
79	177735at7147	db1a
80	177818at7147	db1a
81	17796at7147	db1a
82	178207at7147	db1a
83	178353at7147	db1a
84	178822at7147	db1a
85	179778at7147	db1a
86	179870at7147	db1a
87	180257at7147	db1a
88	18028at7147	db1a
89	180476at7147	db1a
90	18059at7147	db1a
91	180813at7147	db1a
92	181433at7147	db1a
93	181624at7147	db1a
94	182096at7147	db1a
95	182448at7147	db1a
96	182746at7147	db1a
97	183133at7147	db1a
98	183135at7147	db1a
99	184229at7147	db1a
100	184445at7147	db1a
101	184965at7147	db1a
102	185471at7147	db1a
103	185832at7147	db1a
104	186856at7147	db1a
105	187585at7147	db1a
106	187777at7147	db1a
107	187864at7147	db1a
108	191968at7147	db1a
109	192144at7147	db1a
110	193386at7147	db1a
111	194212at7147	db1a
112	194287at7147	db1a
113	195384at7147	db1a
114	196109at7147	db1a
115	196501at7147	db1a
116	19729at7147	db1a
117	197411at7147	db1a
118	197691at7147	db1a
119	197958at7147	db1a
120	199473at7147	db1a
121	200996at7147	db1a
122	201121at7147	db1a
123	20189at7147	db1a
124	201937at7147	db1a
125	202222at7147	db1a
126	202522at7147	db1a
127	203345at7147	db1a
128	203444at7147	db1a
129	203695at7147	db1a
130	203733at7147	db1a
131	204245at7147	db1a
132	204530at7147	db1a
133	204566at7147	db1a
134	205559at7147	db1a
135	205813at7147	db1a
136	20583at7147	db1a
137	206281at7147	db1a
138	206372at7147	db1a
139	20674at7147	db1a
140	2067at7147	db1a
141	207078at7147	db1a
142	209312at7147	db1a
143	209924at7147	db1a
144	209963at7147	db1a
145	210193at7147	db1a
146	211390at7147	db1a
147	211833at7147	db1a
148	212046at7147	db1a
149	213774at7147	db1a
150	213839at7147	db1a
151	214644at7147	db1a
152	214968at7147	db1a
153	21503at7147	db1a
154	215117at7147	db1a
155	215452at7147	db1a
156	21581at7147	db1a
157	215856at7147	db1a
158	21605at7147	db1a
159	217194at7147	db1a
160	217739at7147	db1a
161	218025at7147	db1a
162	218216at7147	db1a
163	218662at7147	db1a
164	219089at7147	db1a
165	21939at7147	db1a
166	219502at7147	db1a
167	219709at7147	db1a
168	22024at7147	db1a
169	220544at7147	db1a
170	221120at7147	db1a
171	221767at7147	db1a
172	221772at7147	db1a
173	222038at7147	db1a
174	224130at7147	db1a
175	224781at7147	db1a
176	224801at7147	db1a
177	225425at7147	db1a
178	22719at7147	db1a
179	227410at7147	db1a
180	227899at7147	db1a
181	229091at7147	db1a
182	229817at7147	db1a
183	230190at7147	db1a
184	2306at7147	db1a
185	230721at7147	db1a
186	231519at7147	db1a
187	232174at7147	db1a
188	232297at7147	db1a
189	232366at7147	db1a
190	233263at7147	db1a
191	233474at7147	db1a
192	234666at7147	db1a
193	234677at7147	db1a
194	235410at7147	db1a
195	235656at7147	db1a
196	235988at7147	db1a
197	236052at7147	db1a
198	236334at7147	db1a
199	236591at7147	db1a
200	237829at7147	db1a
201	238331at7147	db1a
202	238345at7147	db1a
203	239763at7147	db1a
204	239790at7147	db1a
205	239932at7147	db1a
206	240343at7147	db1a
207	240602at7147	db1a
208	240798at7147	db1a
209	241109at7147	db1a
210	241605at7147	db1a
211	241783at7147	db1a
212	241856at7147	db1a
213	241984at7147	db1a
214	242116at7147	db1a
215	242120at7147	db1a
216	242564at7147	db1a
217	243046at7147	db1a
218	243122at7147	db1a
219	243289at7147	db1a
220	243722at7147	db1a
221	243843at7147	db1a
222	243992at7147	db1a
223	244394at7147	db1a
224	24444at7147	db1a
225	245428at7147	db1a
226	246004at7147	db1a
227	246293at7147	db1a
228	246384at7147	db1a
229	246460at7147	db1a
230	247122at7147	db1a
231	247149at7147	db1a
232	247288at7147	db1a
233	248528at7147	db1a
234	248755at7147	db1a
235	249262at7147	db1a
236	249582at7147	db1a
237	24982at7147	db1a
238	250167at7147	db1a
239	250348at7147	db1a
240	251004at7147	db1a
241	251252at7147	db1a
242	251467at7147	db1a
243	251776at7147	db1a
244	251908at7147	db1a
245	252301at7147	db1a
246	252968at7147	db1a
247	253065at7147	db1a
248	253719at7147	db1a
249	254077at7147	db1a
250	254236at7147	db1a
251	255800at7147	db1a
252	255951at7147	db1a
253	257034at7147	db1a
254	258230at7147	db1a
255	258940at7147	db1a
256	259431at7147	db1a
257	260031at7147	db1a
258	260456at7147	db1a
259	260498at7147	db1a
260	26206at7147	db1a
261	262641at7147	db1a
262	262788at7147	db1a
263	262916at7147	db1a
264	263692at7147	db1a
265	263812at7147	db1a
266	264069at7147	db1a
267	264428at7147	db1a
268	264702at7147	db1a
269	264845at7147	db1a
270	264861at7147	db1a
271	264989at7147	db1a
272	265145at7147	db1a
273	265148at7147	db1a
274	265490at7147	db1a
275	265827at7147	db1a
276	266202at7147	db1a
277	267049at7147	db1a
278	267265at7147	db1a
279	267330at7147	db1a
280	267590at7147	db1a
281	268789at7147	db1a
282	269169at7147	db1a
283	269320at7147	db1a
284	269538at7147	db1a
285	270804at7147	db1a
286	271012at7147	db1a
287	271219at7147	db1a
288	271333at7147	db1a
289	271895at7147	db1a
290	273875at7147	db1a
291	274176at7147	db1a
292	276150at7147	db1a
293	276321at7147	db1a
294	277684at7147	db1a
295	277736at7147	db1a
296	278990at7147	db1a
297	27970at7147	db1a
298	279956at7147	db1a
299	280039at7147	db1a
300	280454at7147	db1a
301	281134at7147	db1a
302	281190at7147	db1a
303	281385at7147	db1a
304	282539at7147	db1a
305	283259at7147	db1a
306	283551at7147	db1a
307	283995at7147	db1a
308	284at7147	db1a
309	285173at7147	db1a
310	285439at7147	db1a
311	285918at7147	db1a
312	285941at7147	db1a
313	28615at7147	db1a
314	286884at7147	db1a
315	287026at7147	db1a
316	287604at7147	db1a
317	288308at7147	db1a
318	289197at7147	db1a
319	2904at7147	db1a
320	2908at7147	db1a
321	291313at7147	db1a
322	291500at7147	db1a
323	292746at7147	db1a
324	293157at7147	db1a
325	293181at7147	db1a
326	293502at7147	db1a
327	29361at7147	db1a
328	294261at7147	db1a
329	294625at7147	db1a
330	294678at7147	db1a
331	294747at7147	db1a
332	29583at7147	db1a
333	296856at7147	db1a
334	297825at7147	db1a
335	299296at7147	db1a
336	299690at7147	db1a
337	300918at7147	db1a
338	301738at7147	db1a
339	301812at7147	db1a
340	301911at7147	db1a
341	303019at7147	db1a
342	305196at7147	db1a
343	305466at7147	db1a
344	306096at7147	db1a
345	306523at7147	db1a
346	306719at7147	db1a
347	307135at7147	db1a
348	307172at7147	db1a
349	307283at7147	db1a
350	307989at7147	db1a
351	310143at7147	db1a
352	310734at7147	db1a
353	311243at7147	db1a
354	312587at7147	db1a
355	313187at7147	db1a
356	316570at7147	db1a
357	316818at7147	db1a
358	316862at7147	db1a
359	317464at7147	db1a
360	317481at7147	db1a
361	317570at7147	db1a
362	317831at7147	db1a
363	318245at7147	db1a
364	318596at7147	db1a
365	318996at7147	db1a
366	319751at7147	db1a
367	321152at7147	db1a
368	322306at7147	db1a
369	32273at7147	db1a
370	32472at7147	db1a
371	325652at7147	db1a
372	325730at7147	db1a
373	325959at7147	db1a
374	327028at7147	db1a
375	327786at7147	db1a
376	3282at7147	db1a
377	328374at7147	db1a
378	328432at7147	db1a
379	328868at7147	db1a
380	328966at7147	db1a
381	329352at7147	db1a
382	330235at7147	db1a
383	330891at7147	db1a
384	331213at7147	db1a
385	331320at7147	db1a
386	331586at7147	db1a
387	332264at7147	db1a
388	33297at7147	db1a
389	334123at7147	db1a
390	335282at7147	db1a
391	335848at7147	db1a
392	337071at7147	db1a
393	337635at7147	db1a
394	338061at7147	db1a
395	338132at7147	db1a
396	33932at7147	db1a
397	339407at7147	db1a
398	339797at7147	db1a
399	340578at7147	db1a
400	340811at7147	db1a
401	340913at7147	db1a
402	343484at7147	db1a
403	343796at7147	db1a
404	343958at7147	db1a
405	345771at7147	db1a
406	345946at7147	db1a
407	346045at7147	db1a
408	346119at7147	db1a
409	347327at7147	db1a
410	348693at7147	db1a
411	34900at7147	db1a
412	349071at7147	db1a
413	349133at7147	db1a
414	35501at7147	db1a
415	355590at7147	db1a
416	355935at7147	db1a
417	35706at7147	db1a
418	35774at7147	db1a
419	3577at7147	db1a
420	37084at7147	db1a
421	37172at7147	db1a
422	37774at7147	db1a
423	38429at7147	db1a
424	4069at7147	db1a
425	4095at7147	db1a
426	42951at7147	db1a
427	44237at7147	db1a
428	44328at7147	db1a
429	44463at7147	db1a
430	44945at7147	db1a
431	45914at7147	db1a
432	46493at7147	db1a
433	47419at7147	db1a
434	49217at7147	db1a
435	49577at7147	db1a
436	49793at7147	db1a
437	50446at7147	db1a
438	50487at7147	db1a
439	511at7147	db1a
440	54546at7147	db1a
441	54600at7147	db1a
442	54880at7147	db1a
443	54905at7147	db1a
444	54941at7147	db1a
445	55135at7147	db1a
446	55157at7147	db1a
447	55348at7147	db1a
448	55690at7147	db1a
449	55986at7147	db1a
450	56046at7147	db1a
451	56132at7147	db1a
452	56218at7147	db1a
